TIME,REP_AIRP,UNIT,TRA_MEAS,AIRLINE,Value,Flag and Footnotes
2018M01,BIARRITZ-PAYS BASQUE airport,Passenger,Passengers carried,All airlines,65 325,
2018M01,CASTRES MAZAMET airport,Passenger,Passengers carried,All airlines,3 340,
2018M01,RODEZ-AVEYRON airport,Passenger,Passengers carried,All airlines,4 426,
2018M01,ROCHEFORT-CHARENTE-MARITIME airport,Passenger,Passengers carried,All airlines,:,
2018M01,OUESSANT airport,Passenger,Passengers carried,All airlines,:,
2018M01,DOLE-TAVAUX airport,Passenger,Passengers carried,All airlines,7 639,
2018M01,LE PUY-LOUDES airport,Passenger,Passengers carried,All airlines,:,
2018M01,METZ NANCY-LORRAINE airport,Passenger,Passengers carried,All airlines,11 629,
2018M01,ANGERS MARCE airport,Passenger,Passengers carried,All airlines,:,
2018M01,BASTIA-PORETTA airport,Passenger,Passengers carried,All airlines,56 280,
2018M01,CALVI-SAINTE-CATHERINE airport,Passenger,Passengers carried,All airlines,7 141,
2018M01,FIGARI-SUD-CORSE airport,Passenger,Passengers carried,All airlines,12 205,
2018M01,AJACCIO-NAPOLEON-BONAPARTE airport,Passenger,Passengers carried,All airlines,58 143,
2018M01,CHAMBERY-AIX-LES-BAINS airport,Passenger,Passengers carried,All airlines,51 451,
2018M01,CLERMONT-FERRAND-AUVERGNE airport,Passenger,Passengers carried,All airlines,30 351,
2018M01,COURCHEVEL airport,Passenger,Passengers carried,All airlines,:,
2018M01,LYON SAINT-EXUPERY airport,Passenger,Passengers carried,All airlines,725 262,
2018M01,ANNECY-MEYTHET airport,Passenger,Passengers carried,All airlines,:,
2018M01,GRENOBLE-ISERE airport,Passenger,Passengers carried,All airlines,72 749,
2018M01,AURILLAC airport,Passenger,Passengers carried,All airlines,2 598,
2018M01,CHATEAUROUX-DEOLS airport,Passenger,Passengers carried,All airlines,332,
2018M01,LYON-BRON airport,Passenger,Passengers carried,All airlines,:,
2018M01,CANNES-MANDELIEU airport,Passenger,Passengers carried,All airlines,:,
2018M01,SAINT-ETIENNE-LOIRE airport,Passenger,Passengers carried,All airlines,581,
2018M01,CARCASSONNE-SALVAZA airport,Passenger,Passengers carried,All airlines,20 159,
2018M01,MARSEILLE-PROVENCE airport,Passenger,Passengers carried,All airlines,598 382,
2018M01,NICE-COTE D AZUR airport,Passenger,Passengers carried,All airlines,731 023,
2018M01,PERPIGNAN RIVESALTES airport,Passenger,Passengers carried,All airlines,26 191,
2018M01,LE CASTELLET airport,Passenger,Passengers carried,All airlines,:,
2018M01,MONTPELLIER MEDITERRANEE airport,Passenger,Passengers carried,All airlines,126 733,
2018M01,BEZIERS-VIAS airport,Passenger,Passengers carried,All airlines,6 061,
2018M01,AVIGNON-CAUMONT airport,Passenger,Passengers carried,All airlines,:,
2018M01,BEAUVAIS-TILLE airport,Passenger,Passengers carried,All airlines,264 556,
2018M01,LE HAVRE-OCTEVILLE airport,Passenger,Passengers carried,All airlines,:,
2018M01,CHALONS-VATRY airport,Passenger,Passengers carried,All airlines,4 376,
2018M01,ROUEN-VALLEE DE SEINE airport,Passenger,Passengers carried,All airlines,:,
2018M01,TOURS VAL DE LOIRE airport,Passenger,Passengers carried,All airlines,10 065,
2018M01,PARIS-LE BOURGET airport,Passenger,Passengers carried,All airlines,8 912,
2018M01,PARIS-CHARLES DE GAULLE airport,Passenger,Passengers carried,All airlines,5 213 092,
2018M01,PARIS-ORLY airport,Passenger,Passengers carried,All airlines,2 384 327,
2018M01,LILLE-LESQUIN airport,Passenger,Passengers carried,All airlines,111 475,
2018M01,BREST-BRETAGNE airport,Passenger,Passengers carried,All airlines,73 348,
2018M01,CHERBOURG-MAUPERTUS airport,Passenger,Passengers carried,All airlines,:,
2018M01,DINARD PLEURTUIT SAINT MALO airport,Passenger,Passengers carried,All airlines,4 711,
2018M01,DEAUVILLE-NORMANDIE airport,Passenger,Passengers carried,All airlines,2 545,
2018M01,LORIENT-LANN-BIHOUE airport,Passenger,Passengers carried,All airlines,8 920,
2018M01,CAEN-CARPIQUET airport,Passenger,Passengers carried,All airlines,10 700,
2018M01,LE MANS-ARNAGE airport,Passenger,Passengers carried,All airlines,:,
2018M01,RENNES SAINT JACQUES airport,Passenger,Passengers carried,All airlines,48 265,
2018M01,LANNION airport,Passenger,Passengers carried,All airlines,908,
2018M01,QUIMPER-PLUGUFFAN airport,Passenger,Passengers carried,All airlines,4 214,
2018M01,NANTES ATLANTIQUE airport,Passenger,Passengers carried,All airlines,337 703,
2018M01,SAINT BRIEUC ARMOR airport,Passenger,Passengers carried,All airlines,:,
2018M01,SAINT-NAZAIRE-MONTOIR airport,Passenger,Passengers carried,All airlines,1 164,
2018M01,BALE-MULHOUSE airport,Passenger,Passengers carried,All airlines,54 857,
2018M01,DIJON-LONGVIC airport,Passenger,Passengers carried,All airlines,:,
2018M01,EPINAL-MIRECOURT airport,Passenger,Passengers carried,All airlines,:,
2018M01,BRIVE SOUILLAC airport,Passenger,Passengers carried,All airlines,3 869,
2018M01,REIMS/CHAMPAGNE airport,Passenger,Passengers carried,All airlines,:,
2018M01,STRASBOURG-ENTZHEIM airport,Passenger,Passengers carried,All airlines,79 817,
2018M01,CANNES/PALM BEACH airport,Passenger,Passengers carried,All airlines,:,
2018M01,HYERES-LE PALYVESTRE airport,Passenger,Passengers carried,All airlines,28 988,
2018M01,NIMES-GARONS airport,Passenger,Passengers carried,All airlines,14 135,
2018M01,LA MOLE airport,Passenger,Passengers carried,All airlines,:,
2018M01,STRASBOURG airport System,Passenger,Passengers carried,All airlines,:,
2018M01,CAYENNE-FELIX-EBOUE airport,Passenger,Passengers carried,All airlines,41 339,
2018M01,MARIPASOULA airport,Passenger,Passengers carried,All airlines,2 651,
2018M01,AIME CESAIRE/MARTINIQUE airport,Passenger,Passengers carried,All airlines,192 757,
2018M01,"SAINT MARTIN, GRAND CASE, GUADELOUPE airport",Passenger,Passengers carried,All airlines,13 698,
2018M01,SAINT BARTHELEMY/FRENCH ANTILLES airport,Passenger,Passengers carried,All airlines,:,
2018M01,MARIE GALANTE airport,Passenger,Passengers carried,All airlines,:,
2018M01,POINTE-A-PITRE/LE RAIZET/GUADELOUPE airport,Passenger,Passengers carried,All airlines,238 327,
